url,source,description,urlToImage,author,content,publishedAt,title,t_score,d_score
https://www.01net.com/actualites/tesla-firmware-v9-la-mise-a-jour-qui-ameliore-l-autopilot-et-le-multimedia-1618777.html,"{'id': None, 'name': '01net.com'}","Avec cette mise à jour majeure de son logiciel, Tesla améliore les fonctions multimédia de ses véhicules, mais également les outils d’aide à la conduite. C’est à bord de l’impressionnant SUV Model X qu’on fait le point.",https://www.01net.com/i/0/0/e67/03a9b5657ba71ed14e9b9f99cdb82.jpg,01net,,2019-02-03T08:15:00Z,Tesla Firmware v9 : la mise à jour qui améliore l'autopilot et le multimédia - 01net.com,0.6163057867550312,0.6746053288363856
https://cleantechnica.com/2019/02/03/all-your-cell-are-belong-to-us-any-high-energy-density-2170-will-do-for-tesla/,"{'id': None, 'name': 'Cleantechnica.com'}","One of Elon Musk's most interesting comments on the recent Tesla Q4 earnings call was his statement that Tesla's battery modules and packs  ""can essentially use any high energy density 2170 chemistry."" As the world's biggest user of battery cells by a signifi…",https://cleantechnica.com/files/2019/01/Elon-Shanghai.png,Dr. Maximilian Holland,"Batteries Published on February 3rd, 2019 | by Dr. Maximilian Holland 0 February 3rd, 2019 by Dr. Maximilian Holland One of Elon Musk’s most interesting comments on the recent Tesla Q4 earnings call was his statement that Tesla’s battery modules and packs “ca… [+6846 chars]",2019-02-03T05:44:09Z,All Your Cell Are Belong To Us? Any High Energy Density 2170 Will Do For Tesla - CleanTechnica,0.5841070759249951,0.5627066542116212
https://ria.ru/20190203/1550245865.html,"{'id': None, 'name': 'Ria.ru'}","Через месяц Tesla предстоит выплатить кредиторам почти миллиард долларов по облигациям. Денег у компании нет, так что самый вероятный сценарий развития событий... РИА Новости, 03.02.2019",https://cdn24.img.ria.ru/images/155024/88/1550248857_120:0:2881:1553_1036x0_80_0_0_ea2e800d9bc09a9d5d1cd576950c3eaf.jpg,,https://ria.ru/20190203/1550245865.html https://cdn24.img.ria.ru/images/155024/88/1550248857_120:0:2881:1553_1036x0_80_0_0_ea2e800d9bc09a9d5d1cd576950c3eaf.jpg https://cdn22.img.ria.ru/i/export/ria/logo.png?8119 https://cdn22.img.ria.ru/i/export/ria/logo.png?… [+334 chars],2019-02-03T05:09:00Z,Внезапная смерть: Tesla может обанкротиться уже в марте - РИА Новости,-0.5095519989067516,-0.5410147776817887
"https://m.interia.pl/biznes/news,2601720","{'id': None, 'name': 'Interia.pl'}",,,,"Dzisiaj, 3 lutego (06:00) Zdjcie ilustracyjne /©123RF/PICSEL NYSE FANG Plus Index istnieje od grudnia 2017 r. Wród 10 spóek s: Facebook, Amazon, Netflix, Google, Apple, Baidu, Alibaba, Twitter, Tesla, Nvidia. - S tu spóki, które byy ulubiecami inwestorów, bo … [+453 chars]",2019-02-03T04:59:57Z,"Netflix, Facebook i Tesla należą do grupy jadowitego węża - Interia",0.42597124403430087,0
https://electrek.co/2019/02/02/tesla-service-issue-detection-towing-call-loaner/,"{'id': None, 'name': 'Electrek.co'}","With all the news that came out of Tesla’s earnings this week, the automaker renewed effort to improve service might have gone under the radar. Tesla is now seriously investing in service thr…",https://electrek.co/wp-content/uploads/sites/3/2017/01/2120x920_service_tire_rotation_w_ppl.jpg?quality=82&strip=all&w=1600,,"With all the news that came out of Tesla’s earnings this week, the automaker renewed effort to improve service might have gone under the radar. Tesla is now seriously investing in service through several different efforts including, stocking parts, detecting … [+3412 chars]",2019-02-03T03:25:00Z,"Tesla is seriously working on service with auto issue detection, towing call/loaner, and stock parts - Electrek",0.2847462206089571,-0.6778837584189685
https://otomotif.kompas.com/read/2019/02/03/080652415/selain-byd-blue-bird-juga-pakai-tesla,"{'id': None, 'name': 'Kompas.com'}","Bukan hanya mobil listrik BYD, Blue Bird dikabarkan ikut melakukan uji tipe Tesla.","https://asset.kompas.com/crop/34x0:784x500/780x390/filters:watermark(data/photo/2018/01/24/9090023282.png,0,-0,1)/data/photo/2019/02/02/279452473.png",Azwar Ferdian,"JAKARTA, KOMPAS.com - Kabar Blue Bird yang akan menggunaan armada mobil listrik untuk melayani masyarakat, sudah dibenarkan oleh Kementerian Perhubungan (Kemehub) dan Perusahaan Listrik Negara (PLN). Mobil listrik BYD asal China tersebut jgua sudah melakukan … [+1575 chars]",2019-02-03T01:06:00Z,"Selain BYD, Blue Bird Juga Pakai Tesla? - Kompas.com - KOMPAS.com",0.5012518471742999,0.5059853458019392
http://hronika.info/avto/394748-tesla-prodemonstrirovala-otchet-s-ubytkami.html,"{'id': None, 'name': 'Hronika.info'}",За прошлый год убытки составили около миллиарда долларов.,http://hronika.info/uploads/posts/2019-02/thumbs/1549146221_screenshot_2.jpg,,"-.,,.,. hronika.info © 2012-2018",2019-02-02T22:41:34Z,Tesla продемонстрировала отчет с убытками - Хроника мировых событий,-0.5095519989067516,-0.5095519989067516
https://www.svetmobilne.cz/tesla-model-y-se-blizi-suv-bude-sdilet-75-techniky-s-modelem-3/7263,"{'id': None, 'name': 'Svetmobilne.cz'}","Dalším modelem, který si Tesla chystá pro blízkou budoucnost, je menší SUV Model Y. To má být dle posledních slov Elona Muska postaveno na základě Modelu 3 a bude s ním sdílet 75 % techniky, díky čemuž bude relativně levné.",https://www.svetmobilne.cz/tesla-model-y-se-blizi-suv-bude-sdilet-75-techniky-s-modelem-3/7263/img/tesla-model-y-170(1).jpg,oXy Online s.r.o.,"Výbr televize | Pehled mobilních platforem | Napite nám ISSN 1214-2190 © 2019 oXy Online s.r.o., vechna práva vyhrazena. Tento web vyuívá cookies a dodruje právní pedpisy o ochran osobních údaj. Pouíváme vlastní redakní systém.",2019-02-02T21:14:17Z,"Tesla Model Y se blíží, SUV bude sdílet 75 % techniky s Modelem 3 - Svět mobilně",0.5549957037411981,0.5120852539009886
https://www.lz.de/ueberregional/aus_aller_welt/22366991_Eiseskaelte-in-den-USA-legt-hunderte-Teslas-lahm.html,"{'id': None, 'name': 'Www.lz.de'}",New York. Elektroautos gelten zwar als die Zukunft - jedoch sind sie nicht in allen Fällen auch so zuverlässig wie ein Wagen mit Verbrennungsmotor...,https://www.lz.de/_em_daten/201239135/_/1xXw8eLykOqhyO9MJ6aujFpb3hdSE3aprIKsMBHc5O1gOd2AFrvFc2z1yxyEAnAMsy7jDVegmZmR_Kjx5Osm7K-EcsoGk_nkiN/190202-1952-86434285.jpg,Matthias Schwarzer,New York. Elektroautos gelten zwar als die Zukunft - jedoch sind sie nicht in allen Fällen auch so zuverlässig wie ein Wagen mit Verbrennungsmotor. Das zeigen aktuelle Fälle in den USA: Hier kämpfen Tesla-Fahrer aufgrund der wochenlangen Kältewelle mit Akkupr… [+2185 chars],2019-02-02T19:01:00Z,Eiseskälte in den USA legt hunderte Teslas lahm | Aus aller Welt - Lippische Landes-Zeitung,0.5057432428643168,0.57754801962143
http://www.beppegrillo.it/elon-musk-rilancia-la-disponibilita-ai-brevetti-tesla-come-salvaguardia-dellambiente/,"{'id': None, 'name': 'Beppegrillo.it'}","Elon Musk giovedì scorso ha rilanciato su Twitter un messaggio in cui rendeva disponibili, nuovamente, i brevetti di Tesla, per combattere il cambiamento climatico e il riscaldamento globale. La prima serie di tweet recitava così: ""Tutti i nostri brevetti app…",http://www.beppegrillo.it/wp-content/uploads/2019/02/tesla.jpg,,"Elon Musk giovedì scorso ha rilanciato su Twitter un messaggio in cui rendeva disponibili, nuovamente, i brevetti di Tesla, per combattere il cambiamento climatico e il riscaldamento globale. La prima serie di tweet recitava così: “Tutti i nostri brevetti app… [+1636 chars]",2019-02-02T18:42:00Z,Elon Musk rilancia la disponibilità ai brevetti Tesla come salvaguardia dell'ambiente - Blog di Beppe Grillo,-0.5072441580024962,-0.5072441580024962
